Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Team,Player Name,Image URL
2,2,0,12,9,6.00,21,57.14,0,0,0,0,LSG,Karan Sharma,https://scores.iplt20.com/ipl/playerimages/Karan Sharma.png
4,2,1,11,10*,11.00,5,220.00,0,0,1,1,LSG,Mark Wood,https://scores.iplt20.com/ipl/playerimages/Mark Wood.png
2,2,1,11,7,11.00,9,122.22,0,0,1,1,SRH,Sanvir Singh,https://scores.iplt20.com/ipl/playerimages/Sanvir Singh.png
1,1,0,10,10,10.00,11,90.90,0,0,1,0,LSG,Manan Vohra,https://scores.iplt20.com/ipl/playerimages/Manan Vohra.png
3,1,0,10,10,10.00,15,66.66,0,0,1,0,RR,Joe Root,https://scores.iplt20.com/ipl/playerimages/Joe Root.png
6,3,0,10,7,3.33,16,62.50,0,0,0,0,RR,Adam Zampa,https://scores.iplt20.com/ipl/playerimages/Adam Zampa.png
3,1,0,9,9,9.00,7,128.57,0,0,1,0,LSG,Jaydev Unadkat,https://scores.iplt20.com/ipl/playerimages/Jaydev Unadkat.png
13,3,1,8,7*,4.00,9,88.88,0,0,1,0,GT,Noor Ahmad,https://scores.iplt20.com/ipl/playerimages/Noor Ahmad.png
10,3,3,7,6*,-,9,77.77,0,0,0,0,DC,Mukesh Kumar,https://scores.iplt20.com/ipl/playerimages/Mukesh Kumar.png
3,3,0,7,4,2.33,9,77.77,0,0,1,0,DC,Rovman Powell,https://scores.iplt20.com/ipl/playerimages/Rovman Powell.png
7,2,2,7,7*,-,12,58.33,0,0,1,0,GT,Alzarri Joseph,https://scores.iplt20.com/ipl/playerimages/Alzarri Joseph.png
13,2,0,6,6,3.00,6,100.00,0,0,0,1,RCB,Harshal Patel,https://scores.iplt20.com/ipl/playerimages/Harshal Patel.png
8,1,0,6,6,6.00,7,85.71,0,0,1,0,MI,Kumar Kartikeya Singh,https://scores.iplt20.com/ipl/playerimages/Kumar Kartikeya Singh.png
12,2,2,6,3*,-,9,66.66,0,0,0,0,MI,Jason Behrendorff,https://scores.iplt20.com/ipl/playerimages/Jason Behrendorff.png
6,2,0,6,4,3.00,12,50.00,0,0,0,0,MI,Chris Jordan,https://scores.iplt20.com/ipl/playerimages/Chris Jordan.png
17,2,0,5,5,2.50,6,83.33,0,0,1,0,GT,Mohammad Shami,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png
1,1,0,4,4,4.00,4,100.00,0,0,1,0,KKR,Litton Das,https://scores.iplt20.com/ipl/images/default-player-statsImage.png
5,2,2,4,3*,-,4,100.00,0,0,0,0,MI,Jofra Archer,https://scores.iplt20.com/ipl/playerimages/Jofra Archer.png
2,2,1,4,4,4.00,6,66.66,0,0,1,0,DC,Chetan Sakariya,https://scores.iplt20.com/ipl/playerimages/Chetan Sakariya.png
5,2,2,3,2*,-,2,150.00,0,0,0,0,KKR,Vaibhav Arora,https://scores.iplt20.com/ipl/playerimages/Vaibhav Arora.png
7,2,0,3,2,1.50,5,60.00,0,0,0,0,RCB,Karn Sharma,https://scores.iplt20.com/ipl/playerimages/Karn Sharma.png
14,2,2,2,2*,-,2,100.00,0,0,0,0,PBKS,Arshdeep Singh,https://scores.iplt20.com/ipl/playerimages/Arshdeep Singh.png
3,2,2,2,1*,-,4,50.00,0,0,0,0,CSK,Mitchell Santner,https://scores.iplt20.com/ipl/playerimages/Mitchell Santner.png
2,1,1,2,2*,-,4,50.00,0,0,0,0,LSG,Swapnil Singh,https://scores.iplt20.com/ipl/playerimages/Swapnil Singh.png
7,1,0,2,2,2.00,5,40.00,0,0,0,0,RCB,Wayne Parnell,https://scores.iplt20.com/ipl/images/default-player-statsImage.png
12,2,2,2,2*,-,6,33.33,0,0,0,0,RR,Sandeep Sharma,https://scores.iplt20.com/ipl/playerimages/Sandeep Sharma.png
2,1,1,1,1*,-,1,100.00,0,0,0,0,DC,Mustafizur Rahman,https://scores.iplt20.com/ipl/playerimages/Mustafizur Rahman.png
8,1,1,1,1*,-,1,100.00,0,0,0,0,DC,Ishant Sharma,https://scores.iplt20.com/ipl/playerimages/Ishant Sharma.png
1,1,1,1,1*,-,1,100.00,0,0,0,0,RR,Abdul Basith,https://scores.iplt20.com/ipl/playerimages/Abdul Basith.png
10,1,1,1,1*,-,2,50.00,0,0,0,0,CSK,Deepak Chahar,https://scores.iplt20.com/ipl/playerimages/Deepak Chahar.png
1,1,1,1,1*,-,2,50.00,0,0,0,0,PBKS,Mohit Rathee,https://scores.iplt20.com/ipl/playerimages/Mohit Rathee.png
3,1,1,1,1*,-,2,50.00,0,0,0,0,RCB,Josh Hazlewood,https://scores.iplt20.com/ipl/playerimages/Josh Hazlewood.png
14,2,1,1,1*,1.00,2,50.00,0,0,0,0,RCB,Mohammed Siraj,https://scores.iplt20.com/ipl/playerimages/Mohammed Siraj.png
3,2,0,1,1,0.50,2,50.00,0,0,0,0,LSG,Yudhvir Singh,https://scores.iplt20.com/ipl/playerimages/Yudhvir Singh.png
4,1,1,1,1*,-,5,20.00,0,0,0,0,SRH,Fazalhaq Farooqi,https://scores.iplt20.com/ipl/playerimages/Fazalhaq Farooqi.png
10,2,0,1,1,0.50,7,14.28,0,0,0,0,PBKS,Nathan Ellis,https://scores.iplt20.com/ipl/playerimages/Nathan Ellis.png
14,2,1,1,1,1.00,9,11.11,0,0,0,0,KKR,Varun Chakaravarthy,https://scores.iplt20.com/ipl/playerimages/Varun Chakaravarthy.png
